"","year","lowerCI","mean","upperCI","herd","scenario"
"6707","1833",1.02732007633959,1.03222661378846,1.03715476102916,"WSA","NIHB"
"6708","1834",1.02704598931868,1.03221503943042,1.03703901025672,"WSA","NIHB"
"6709","1835",1.02697207157478,1.03222401365649,1.03711075699546,"WSA","NIHB"
"6710","1836",1.02702686140593,1.03222036747189,1.03714018505288,"WSA","NIHB"
"6711","1837",1.02682714984934,1.03221576494666,1.03716250126143,"WSA","NIHB"
"6712","1838",1.02724186818047,1.03221843457211,1.03747024269245,"WSA","NIHB"
"6713","1839",1.02699631882368,1.03218991877626,1.03722858818257,"WSA","NIHB"
"6714","1840",1.02689518352815,1.03215916860675,1.03720144512792,"WSA","NIHB"
"6715","1841",1.02670557661734,1.03215650165645,1.03727901610061,"WSA","NIHB"
"6716","1842",1.02661845894385,1.03216595594704,1.037431003209,"WSA","NIHB"
"6717","1843",1.02662856871379,1.03212449610238,1.03745759920341,"WSA","NIHB"
"6718","1844",1.0266305147334,1.03215637694188,1.03770045236974,"WSA","NIHB"
"6719","1845",1.02678208878029,1.03214821930601,1.03750124703079,"WSA","NIHB"
"6720","1846",1.02698841253717,1.03215846696682,1.03747099635949,"WSA","NIHB"
"6721","1847",1.02668502886347,1.03218998646886,1.03737057485121,"WSA","NIHB"
"6722","1848",1.02672295567344,1.03213262518248,1.03737532780221,"WSA","NIHB"
